,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast
0,Danville-Georgetown Trail System,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,5.4,70.0,660.0,2.0,1,The Danville-Georgetown Open Space is a greenspace habitat offering a multi-use trail network through a working forest in King County's Maple Valley. The Danville-Georgetown Open Space is named after the historical railroad line that traveled through the site and the former Georgetown mining town.,"['Good for kids', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Monte Cristo,SOUTH CASCADES -- MOUNT ADAMS AREA,4.0,1000.0,4177.0,4.4,5,"Like its neighbor, the nearby Monte Carlo trail, the 4.1 mile-long Monte Cristo trail ventures into the small Monte Cristo range in the south Cascades between Willard and Trout Lake. From it, hikers see a myriad of wildflowers in the spring, and the occasional views of the south Cascade range.","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Mountain views', 'Old growth', 'Summits', 'Rivers']",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Lake Serene,CENTRAL CASCADES -- STEVENS PASS - WEST,8.2,2000.0,2521.0,4.46,358,Lake Serene and Bridal Veil Falls compete for attention on this 7.2 mile trip. Either would be a worthy destination by themselves and combined they are a great day on the trail.,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,Heybrook Ridge,CENTRAL CASCADES -- STEVENS PASS - WEST,3.3,775.0,1327.0,4.22,59,"The Leovy Trail, a testament to community land conservation, is a moderate ascent through second-growth Cascade rainforest to the summit of Heybrook Ridge. At the top, take in stunning views of Mount Index, Bridal Veil Falls, and the Skykomish Valley.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Good for kids', 'Ridges/passes', 'Fall foliage']",1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,Enchanted Valley via East Fork Quinault River,OLYMPIC PENINSULA -- PACIFIC COAST,26.0,3700.0,,4.41,29,"The famed Enchanted Valley chalet has been a destination for weary travelers since the early '30s, when it provided a mountain retreat for hikers and horseback riders. During World War II, the chalet served as an Aircraft Warning Station, and is currently listed on the National Register of Historic Places. It's occasionally used as an emergency shelter and ranger station, but the precarious position over the Quinault River has caused it to be closed to hikers until it is moved.","['Wildflowers/Meadows', 'Ridges/passes', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Rivers']",1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
5,Ira Spring Trail - Mason Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,6.5,2420.0,4320.0,4.18,135,"Sun drenched ridgelines, blooming trillium, and sparkling alpine waters define this fitting tribute to one of Washington’s greatest trail advocates.","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Mountain views', 'Waterfalls', 'Lakes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
6,Talapus and Olallie Lakes,SNOQUALMIE REGION -- SNOQUALMIE PASS,6.2,1220.0,3780.0,3.92,120,"With a moderate grade on a wide trail, the hike to Talapus Lake is the perfect introduction to the outdoors for hikers and beginning backpackers. Upon arrival at Talapus, break out lunch or pitch camp. Either way, you can cool off in the large lake. If you feel like pressing on, Ollalie Lake is just about a mile and a half up trail, where open campsites offer lakeside havens with calm waters and views of a beautiful lake basin.","['Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,Annette Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,7.5,1800.0,3600.0,3.84,196,"Waterfalls, wildflowers, sheltering forests, mountain views and an alpine lake are offered on this well-maintained trail. At the lake, enjoy the sights and relax for a while. If you backpacked in, stay at the campsites for a sunrise and sunset on the lake.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
8,Bullitt Fireplace Trail,ISSAQUAH ALPS -- SQUAK MOUNTAIN,4.0,1100.0,1830.0,3.06,17,"Hike a two-mile forest trail on the north side of Squak Mountain to reach the site of a former cabin owned by the Bullitt family. Only the massive fireplace and the foundation remain today. Optionally, extend your hike to Central Peak, the highest point on Squak Mountain (no view,) and make it an interesting loop by returning via the Old Griz and East Side Trails.","['Dogs allowed on leash', 'Old growth', 'Good for kids', 'Wildlife', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,Tradition Lake Loop,ISSAQUAH ALPS -- TIGER MOUNTAIN,2.9,150.0,540.0,3.76,17,"Hike a series of short, nearly level trails that offer views of two lakes and of some swampy areas, and pass one of the largest trees in the Tigers. Appreciate the forest vegetation and wildflowers. Along the way, hear and perhaps see a variety of song birds and waterfowl.","['Wildflowers/Meadows', 'Wildlife', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Fall foliage']",1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,Spokane Gulch,NORTH CASCADES -- METHOW/SAWTOOTH,5.0,1100.0,3100.0,5.0,2,"A trail ascending from the Methow valley floor towards Goat Wall, Spokane Gulch is a local favorite. Trails and roads continue on up to Flagg Mountain to the south or Goat Peak's lookout 4000 feet above the valley floor.","['Mountain views', 'Wildlife', 'Dogs allowed on leash']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,Mount Walker,OLYMPIC PENINSULA -- HOOD CANAL,4.0,2000.0,2804.0,3.49,35,"Approachable throughout the year, the Mount Walker trail’s average 20% grade makes it a go-to route for hikers and trail runners looking for a short, brisk tromp. (While it is also a designated stock trail, riders and pack animals rarely make an appearance.) Spring, summer, and fall the 2-mile trail is both ascended and descended by those on foot. In the winter, when the Mount Walker road is gated closed to vehicles, many will pursue the then 2.25-mile jaunt up to the north viewpoint, saunter over to the south viewpoint and then descend on the more gentle grade of the road.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Summits', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,Madison Falls,OLYMPIC PENINSULA -- NORTHERN COAST,0.2,46.0,,2.88,8,"Paved 0.1 mile trail, ending at the beautiful Madison Falls.","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Waterfalls', 'Old growth', 'Good for kids', 'Fall foliage']",1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,Striped Peak,OLYMPIC PENINSULA -- NORTHERN COAST,7.5,850.0,1166.0,3.44,16,"Visit a multi-use trail to a summit that boasts coastal scenery, forests, rocky bluffs, tidepools, and a hearty climb to a 1,166-foot viewpoint over the Strait of Juan de Fuca","['Old growth', 'Good for kids', 'Dogs allowed on leash', 'Established campsites', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
14,Lena Lake,OLYMPIC PENINSULA -- HOOD CANAL,7.2,1300.0,2000.0,4.11,89,"The hike to Lena Lake is doable for nearly every type of hiker, and the traffic on the trail is evidence of it. A wide path switchbacks gently at first and then just a little more steeply uphill through old- and second-growth forest to a large lake ringed by silent sentinels--huge old-growth fir trees that keep watch over day hikers and campers who elect to stay overnight at this wilderness refuge.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
15,Cape Flattery,OLYMPIC PENINSULA -- PACIFIC COAST,1.5,200.0,250.0,4.33,49,"The furthest northwest tip of the contiguous United State, Cape Flattery provides a dramatic backdrop to a surprisingly accessible hike. It's managed by the Makah Tribe, who provide permits for parking here at Washburn's General Store, The Makah Museum, and many other locations in Neah Bay. As you drive through on the way to the trailhead, be sure to purchase yours -- they're good for the year, and you can also use it for Shi Shi Beach.","['Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,Talus Loop,SNOQUALMIE REGION -- NORTH BEND AREA,4.5,1400.0,2100.0,3.5,20,"Get a different view of the perennially-popular Mount Si on the Talus Loop Trail. Just under 4 miles long, the Talus Trail explores the eastern slopes of the mountain. You'll hike briefly with the crowds headed to the haystack, then peel off and enjoy a much quieter forest walk, along with a good workout.","['Mountain views', 'Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Japanese Gulch,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,8.0,174.0,363.0,3.09,11,Lots of access points to this network of trails right in the heart of Mukilteo makes for great hiking for all ages.,"['Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Old growth', 'Good for kids', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,Bridle Trails State Park,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,3.5,450.0,525.0,3.17,12,"Bridle Trails State Park offers more than 28 miles of pleasant, forested trails conveniently located between Bellevue and Kirkland. This park is popular with horseback riders, so while dogs are allowed, they must be kept on leash to avoid startling horses.","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Wildlife', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19,Big Beaver Trail,NORTH CASCADES -- NORTH CASCADES HIGHWAY - HWY 20,49.2,500.0,1980.0,3.5,10,"Visit one of the best old-growth hikes in the North Cascades, with views of a vivid blue lake and jagged, snowy peaks thrown in for good measure.","['Mountain views', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
20,Eastside Trail,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,52.4,3532.0,,3.0,3,"This long route connects the subalpine environs of Chinook Pass and Tipsoo Lake with the deep, lowland forests of the Ohanapecosh area. It is part of the East Side Loop trail, a long loop that hikers can enjoy in lieu of the Wonderland Trail.","['Wildflowers/Meadows', 'Dogs not allowed', 'Wildlife', 'Lakes', 'Established campsites']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
21,Three Lakes via Laughingwater Creek,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,13.0,2800.0,5000.0,2.75,8,"Laughingwater Creek conjures up a nice stroll alongside a bubbling creek but read on; the most scenic lower part of the creek keeps hikers well above the creek. Initially, at several spots along the hike, you can hear the creek but you won't see it.","['Wildflowers/Meadows', 'Dogs not allowed', 'Established campsites', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
22,Shriner Peak,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,8.5,3434.0,5834.0,3.6,15,"Gorgeous weather and late-season color make this one of the most beautiful autumn hikes in Mount Rainier National Park. This hike is a tough climb, but the payoff is great views and lots of solitude.","['Mountain views', 'Dogs not allowed', 'Lakes', 'Fall foliage', 'Ridges/passes']",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
