,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast,summary_score,neg,neu,pos,Lon,Lat
0,Danville-Georgetown Trail System,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,5.4,70.0,660.0,2.0,1,the danville georgetown open space is a greenspace habitat offering a multi use trail network through a working forest in king county maple valley the danville georgetown open space is named after the historical railroad line that traveled through the site and the former georgetown mining town,"['Good for kids', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1,Monte Cristo,SOUTH CASCADES -- MOUNT ADAMS AREA,4.0,1000.0,4177.0,4.4,5,like its neighbor the nearby monte carlo trail the 4 1 mile long monte cristo trail ventures into the small monte cristo range in the south cascades between willard and trout lake from it hikers see a myriad of wildflowers in the spring and the occasional views of the south cascade range,"['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Mountain views', 'Old growth', 'Summits', 'Rivers']",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612,0.0,0.95,0.05,-121.3935899,47.9857343
2,Lake Serene,CENTRAL CASCADES -- STEVENS PASS - WEST,8.2,2000.0,2521.0,4.46,358,lake serene and bridal veil falls compete for attention on this 7 2 mile trip either would be a worthy destination by themselves and combined they are a great day on the trail,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.875,0.0,0.722,0.278,-122.51050332032932,46.97368455
3,Heybrook Ridge,CENTRAL CASCADES -- STEVENS PASS - WEST,3.3,775.0,1327.0,4.22,59,the leovy trail a testament to community land conservation is a moderate ascent through second growth cascade rainforest to the summit of heybrook ridge at the top take in stunning views of mount index bridal veil falls and the skykomish valley,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Good for kids', 'Ridges/passes', 'Fall foliage']",1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7184,0.0,0.837,0.163,-121.5363974,47.8133243
4,Enchanted Valley via East Fork Quinault River,OLYMPIC PENINSULA -- PACIFIC COAST,26.0,3700.0,,4.41,29,the famed enchanted valley chalet has been a destination for weary travelers since the early 30s when it provided a mountain retreat for hikers and horseback riders during world war ii the chalet served as an aircraft warning station and is currently listed on the national register of historic places it occasionally used as an emergency shelter and ranger station but the precarious position over the quinault river has caused it to be closed to hikers until it is moved,"['Wildflowers/Meadows', 'Ridges/passes', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Rivers']",1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.5106,0.091,0.871,0.039,,
5,Ira Spring Trail - Mason Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,6.5,2420.0,4320.0,4.18,135,sun drenched ridgelines blooming trillium and sparkling alpine waters define this fitting tribute to one of washington s greatest trail advocates,"['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Mountain views', 'Waterfalls', 'Lakes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7506,0.0,0.738,0.262,-121.5834733,47.42478
6,Talapus and Olallie Lakes,SNOQUALMIE REGION -- SNOQUALMIE PASS,6.2,1220.0,3780.0,3.92,120,with a moderate grade on a wide trail the hike to talapus lake is the perfect introduction to the outdoors for hikers and beginning backpackers upon arrival at talapus break out lunch or pitch camp either way you can cool off in the large lake if you feel like pressing on ollalie lake is just about a mile and a half up trail where open campsites offer lakeside havens with calm waters and views of a beautiful lake basin,"['Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9287,0.0,0.824,0.176,,
7,Annette Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,7.5,1800.0,3600.0,3.84,196,waterfalls wildflowers sheltering forests mountain views and an alpine lake are offered on this well maintained trail at the lake enjoy the sights and relax for a while if you backpacked in stay at the campsites for a sunrise and sunset on the lake,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8164,0.0,0.821,0.179,-121.47410014206642,47.3589855
8,Bullitt Fireplace Trail,ISSAQUAH ALPS -- SQUAK MOUNTAIN,4.0,1100.0,1830.0,3.06,17,hike a two mile forest trail on the north side of squak mountain to reach the site of a former cabin owned by the bullitt family only the massive fireplace and the foundation remain today optionally extend your hike to central peak the highest point on squak mountain no view and make it an interesting loop by returning via the old griz and east side trails,"['Dogs allowed on leash', 'Old growth', 'Good for kids', 'Wildlife', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3182,0.032,0.886,0.081,-122.05758,47.5151899
9,Tradition Lake Loop,ISSAQUAH ALPS -- TIGER MOUNTAIN,2.9,150.0,540.0,3.76,17,hike a series of short nearly level trails that offer views of two lakes and of some swampy areas and pass one of the largest trees in the tigers appreciate the forest vegetation and wildflowers along the way hear and perhaps see a variety of song birds and waterfowl,"['Wildflowers/Meadows', 'Wildlife', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Fall foliage']",1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4019,0.0,0.945,0.055,,
10,Spokane Gulch,NORTH CASCADES -- METHOW/SAWTOOTH,5.0,1100.0,3100.0,5.0,2,a trail ascending from the methow valley floor towards goat wall spokane gulch is a local favorite trails and roads continue on up to flagg mountain to the south or goat peak lookout 4000 feet above the valley floor,"['Mountain views', 'Wildlife', 'Dogs allowed on leash']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4588,0.0,0.923,0.077,-117.285539551003,47.72342355
11,Mount Walker,OLYMPIC PENINSULA -- HOOD CANAL,4.0,2000.0,2804.0,3.49,35,approachable throughout the year the mount walker trail s average 20 grade makes it a go to route for hikers and trail runners looking for a short brisk tromp while it is also a designated stock trail riders and pack animals rarely make an appearance spring summer and fall the 2 mile trail is both ascended and descended by those on foot in the winter when the mount walker road is gated closed to vehicles many will pursue the then 2 25 mile jaunt up to the north viewpoint saunter over to the south viewpoint and then descend on the more gentle grade of the road,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Summits', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5849,0.0,0.953,0.047,-122.901553,47.7870361
12,Madison Falls,OLYMPIC PENINSULA -- NORTHERN COAST,0.2,46.0,,2.88,8,paved 0 1 mile trail ending at the beautiful madison falls,"['Wildflowers/Meadows', 'Dogs allowed on leash', 'Waterfalls', 'Old growth', 'Good for kids', 'Fall foliage']",1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5994,0.0,0.672,0.328,-123.589075,48.0419752
13,Striped Peak,OLYMPIC PENINSULA -- NORTHERN COAST,7.5,850.0,1166.0,3.44,16,visit a multi use trail to a summit that boasts coastal scenery forests rocky bluffs tidepools and a hearty climb to a 1 166 foot viewpoint over the strait of juan de fuca,"['Old growth', 'Good for kids', 'Dogs allowed on leash', 'Established campsites', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-123.6845243,48.1566912
14,Lena Lake,OLYMPIC PENINSULA -- HOOD CANAL,7.2,1300.0,2000.0,4.11,89,the hike to lena lake is doable for nearly every type of hiker and the traffic on the trail is evidence of it a wide path switchbacks gently at first and then just a little more steeply uphill through old and second growth forest to a large lake ringed by silent sentinels huge old growth fir trees that keep watch over day hikers and campers who elect to stay overnight at this wilderness refuge,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8591,0.0,0.865,0.135,-119.3205901227429,47.620285100000004
15,Cape Flattery,OLYMPIC PENINSULA -- PACIFIC COAST,1.5,200.0,250.0,4.33,49,the furthest northwest tip of the contiguous united state cape flattery provides a dramatic backdrop to a surprisingly accessible hike it managed by the makah tribe who provide permits for parking here at washburn general store the makah museum and many other locations in neah bay as you drive through on the way to the trailhead be sure to purchase yours they re good for the year and you can also use it for shi shi beach,"['Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8625,0.0,0.858,0.142,-124.7269124,48.3859615
16,Talus Loop,SNOQUALMIE REGION -- NORTH BEND AREA,4.5,1400.0,2100.0,3.5,20,get a different view of the perennially popular mount si on the talus loop trail just under 4 miles long the talus trail explores the eastern slopes of the mountain you ll hike briefly with the crowds headed to the haystack then peel off and enjoy a much quieter forest walk along with a good workout,"['Mountain views', 'Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836,0.0,0.846,0.154,-121.7252887,47.4968114
17,Japanese Gulch,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,8.0,174.0,363.0,3.09,11,lots of access points to this network of trails right in the heart of mukilteo makes for great hiking for all ages,"['Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Old growth', 'Good for kids', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6249,0.0,0.837,0.163,-122.2894054,47.937352
18,Bridle Trails State Park,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,3.5,450.0,525.0,3.17,12,bridle trails state park offers more than 28 miles of pleasant forested trails conveniently located between bellevue and kirkland this park is popular with horseback riders so while dogs are allowed they must be kept on leash to avoid startling horses,"['Wildflowers/Meadows', 'Dogs allowed on leash', 'Wildlife', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6369,0.047,0.794,0.159,-122.16968079923006,47.6535004
19,Big Beaver Trail,NORTH CASCADES -- NORTH CASCADES HIGHWAY - HWY 20,49.2,500.0,1980.0,3.5,10,visit one of the best old growth hikes in the north cascades with views of a vivid blue lake and jagged snowy peaks thrown in for good measure,"['Mountain views', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8658,0.0,0.712,0.288,-121.2636996,48.8912877
20,Eastside Trail,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,52.4,3532.0,,3.0,3,this long route connects the subalpine environs of chinook pass and tipsoo lake with the deep lowland forests of the ohanapecosh area it is part of the east side loop trail a long loop that hikers can enjoy in lieu of the wonderland trail,"['Wildflowers/Meadows', 'Dogs not allowed', 'Wildlife', 'Lakes', 'Established campsites']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4767,0.024,0.905,0.071,-122.0438647,47.5970347
21,Three Lakes via Laughingwater Creek,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,13.0,2800.0,5000.0,2.75,8,laughingwater creek conjures up a nice stroll alongside a bubbling creek but read on the most scenic lower part of the creek keeps hikers well above the creek initially at several spots along the hike you can hear the creek but you won t see it,"['Wildflowers/Meadows', 'Dogs not allowed', 'Established campsites', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.7493,0.062,0.753,0.185,,
22,Shriner Peak,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,8.5,3434.0,5834.0,3.6,15,gorgeous weather and late season color make this one of the most beautiful autumn hikes in mount rainier national park this hike is a tough climb but the payoff is great views and lots of solitude,"['Mountain views', 'Dogs not allowed', 'Lakes', 'Fall foliage', 'Ridges/passes']",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8884,0.029,0.721,0.25,-121.530367,46.8137225
23,Pinnacle Saddle,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,2.5,1000.0,5920.0,4.4,20,imagine that you are looking through a telephoto lens at one of those iconic images of mount rainier taken from the south now zoom out to a wider view of the entire mountain the thick forests below timberline the enormous brown gash of the nisqually river valley and beside it the verdant parkland that became known as paradise this is the view from the pinnacle saddle trail,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs not allowed', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6369,0.0,0.938,0.062,-121.7357068,46.7561418
24,Bench and Snow Lakes,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,2.5,610.0,4725.0,4.19,21,escape the crowds within mount rainier national park without going on a lengthy adventure visit one or both of two alpine lakes the second one just a bit more than a mile from the parking lot,"['Wildflowers/Meadows', 'Mountain views', 'Dogs not allowed', 'Lakes', 'Established campsites']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.4588,0.0,0.886,0.114,,
25,High Lakes Loop,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,3.0,600.0,5425.0,3.7,10,reflection lakes are not just a popular photography stop from the lakes you can hike to a stunning cliffside view of the lakes and the tatoosh range from there you have the option of returning the way you came or hiking in a loop around the largest of the lakes,"['Wildflowers/Meadows', 'Mountain views', 'Ridges/passes', 'Dogs not allowed', 'Good for kids', 'Lakes', 'Fall foliage']",1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.234,0.089,0.861,0.051,,
26,Faraway Rock,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,1.3,300.0,5220.0,2.5,4,the overlook at faraway rock is a short jaunt along the mazama ridge trail up from stevens canyon road and reflection lakes along the wonderland trail this viewpoint showcases glistening lake louise below and the towering tatoosh ridge to the south,"['Wildflowers/Meadows', 'Mountain views', 'Ridges/passes', 'Dogs not allowed', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.7188086,46.7739867
27,Deer Creek Falls to Owyhigh Lakes,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,10.0,2200.0,5400.0,4.0,6,access the owyhigh lakes trail via deer creek falls on this slightly longer hike than the one from the sunrise road this trailhead is marked on the right of southbound highway 123 across the street from the parking area quickly cross the road watch for traffic it s a busy road on a blind corner to the marker and you will finally see the trailhead which is mostly invisible from the road due to brush and low hanging tree branches,"['Wildflowers/Meadows', 'Old growth', 'Rivers', 'Waterfalls']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5859,0.06,0.94,0.0,,
